neighborhood,neighborhood-2,st_distance
36,50,0.08237533400000001
36,51,0.10981855900000001
36,52,0.109298855
36,53,0.11037210199999999
36,54,0.139549624
36,55,0.1019434
36,56,0.07754294
36,57,0.047535432999999995
36,59,0.0
36,60,0.0
36,61,0.077563888
36,62,0.043354968
36,63,0.10253114699999999
36,64,0.077891264
36,65,0.044376837999999995
36,66,0.019416021000000002
36,67,0.0
36,68,0.011440646
36,6,0.087517289
36,69,0.056711053
36,70,0.037377587999999996
36,71,0.069823762
36,72,0.062928166
36,73,0.106526922
36,74,0.095104294
36,75,0.229068752
36,76,0.153620776
36,8,0.242189861
37,34,0.0
37,35,0.0
37,36,0.0
37,37,0.0
37,38,0.0
37,3,0.144890635
37,39,0.0
37,40,0.0
37,41,0.016374289
37,0,0.17629991600000006
37,10,0.189782754
37,11,0.186675958
37,12,0.167450985
37,13,0.152343949
37,14,0.16120637699999998
37,15,0.140008742
37,16,0.18638627300000002
37,17,0.18553572
37,18,0.14380241400000002
37,1,0.170436137
37,19,0.129382726
37,20,0.123280739
37,21,0.09798276199999999
37,22,0.089628352
37,23,0.066164563
37,24,0.11823045199999999
37,25,0.101335027
37,26,0.076842315
37,27,0.034536419
37,28,0.067410151
37,2,0.131644429
37,29,0.059099405999999986
37,30,0.029506533999999997
37,32,0.020763125
37,33,0.0
37,9,0.215074866
37,7,0.063096961
37,31,0.043691684
37,42,0.032316067999999996
37,43,0.050972777000000004
37,44,0.046616242999999995
37,45,0.05482814
37,46,0.065816215
37,58,0.026749561
37,5,0.10885340199999999
37,47,0.066396397
37,48,0.06263207900000001
37,4,0.117239212
37,49,0.080267625
37,50,0.08125534
37,51,0.09899998199999999
37,52,0.11663447699999999
37,53,0.11613412599999999
37,54,0.134075318
37,55,0.10918073199999999
37,56,0.08477348900000001
37,57,0.054851018
37,59,0.004607831
37,60,0.006596623
37,61,0.08461932300000001
37,62,0.05042413900000002
37,63,0.110010507
37,64,0.08556917
37,65,0.052607903
37,66,0.027195119
37,67,0.007297373
37,68,0.018739224
37,6,0.08752647599999999
37,69,0.066604512
37,70,0.04639288900000002
37,71,0.079676531
37,72,0.071592651
37,73,0.116427095
37,74,0.103180425
37,75,0.234913605
37,76,0.154335938
37,8,0.24693890699999999
38,34,0.009224164
38,35,0.0
38,36,0.022363725
38,37,0.0
38,38,0.0
38,3,0.159582334
38,39,0.0
38,40,0.0
38,41,0.016093616
38,0,0.18755824399999999
38,10,0.210100244
38,11,0.206762707
38,12,0.184498755
38,13,0.169172159
38,14,0.182308003
38,15,0.157730726
38,16,0.208632155
38,17,0.20861829699999998
38,18,0.165981284
38,1,0.185794422
38,19,0.150820583
38,20,0.141061955
38,21,0.11401561699999999
38,22,0.110891432
38,23,0.07930106
38,24,0.141845307
38,25,0.124739689
38,26,0.09945802599999999
38,27,0.049828660999999996
38,28,0.09064218800000001
38,2,0.142192031
38,29,0.08267185
38,30,0.048888617999999995
38,32,0.027984673999999998
38,33,0.023295418
38,9,0.236636428
38,7,0.071962822
38,31,0.052149115
38,42,0.029044438
38,43,0.050976623
38,44,0.045514839
38,45,0.050894995
38,46,0.06559446599999999
38,58,0.049829943
38,5,0.11816652400000001
38,47,0.065455793
38,48,0.068558441
38,4,0.133379046
38,49,0.080159992
38,50,0.079042788
38,51,0.08431152199999999
38,52,0.116964766
38,53,0.116091269
38,54,0.12147201
38,55,0.131646483
38,56,0.10727602300000001
38,57,0.077306797
38,59,0.028091136000000003
38,60,0.029011238999999998
38,61,0.10709700300000001
38,62,0.072874965
38,63,0.132243764
38,64,0.10770788099999999
38,65,0.07438897
38,66,0.049135820999999996
38,67,0.023432756000000002
38,68,0.023863105
38,6,0.096402659
38,69,0.08484705099999999
38,70,0.056986641
38,71,0.094235989
38,72,0.078320338
38,73,0.130975704
38,74,0.108808808
38,75,0.258097193
38,76,0.16550636900000001
38,8,0.268205466
3,34,0.12405040699999999
3,35,0.144916125
3,36,0.143040679
3,37,0.144890635
3,38,0.159582334
3,3,0.0
3,39,0.16590236
